value	char	codepoint	class	symbol	tier	hatch	fill	spoken	glyph	svg	urlsafe_alias
0	A	U+0041	Shapes	Cross	Blank	No fill	none	cross blank	cross.none	u0041.svg	
1	B	U+0042	Shapes	Circle	Blank	No fill	none	circle blank	circle.none	u0042.svg	
2	C	U+0043	Shapes	Triangle	Blank	No fill	none	triangle blank	triangle.none	u0043.svg	
3	D	U+0044	Shapes	Square	Blank	No fill	none	square blank	square.none	u0044.svg	
4	E	U+0045	Suits	Clubs	Blank	No fill	none	clubs blank	clubs.none	u0045.svg	
5	F	U+0046	Suits	Diamonds	Blank	No fill	none	diamonds blank	diamonds.none	u0046.svg	
6	G	U+0047	Suits	Hearts	Blank	No fill	none	hearts blank	hearts.none	u0047.svg	
7	H	U+0048	Suits	Spades	Blank	No fill	none	spades blank	spades.none	u0048.svg	
8	I	U+0049	Elements	Water	Blank	No fill	none	water blank	water.none	u0049.svg	
9	J	U+004A	Elements	Fire	Blank	No fill	none	fire blank	fire.none	u004A.svg	
10	K	U+004B	Elements	Air	Blank	No fill	none	air blank	air.none	u004B.svg	
11	L	U+004C	Elements	Earth	Blank	No fill	none	earth blank	earth.none	u004C.svg	
12	M	U+004D	Powers	Mushroom	Blank	No fill	none	mushroom blank	mushroom.none	u004D.svg	
13	N	U+004E	Powers	Flower	Blank	No fill	none	flower blank	flower.none	u004E.svg	
14	O	U+004F	Powers	Star	Blank	No fill	none	star blank	star.none	u004F.svg	
15	P	U+0050	Powers	Moon	Blank	No fill	none	moon blank	moon.none	u0050.svg	
16	Q	U+0051	Shapes	Cross	Fill	Total fill	solid	cross fill	cross.solid	u0051.svg	
17	R	U+0052	Shapes	Circle	Fill	Total fill	solid	circle fill	circle.solid	u0052.svg	
18	S	U+0053	Shapes	Triangle	Fill	Total fill	solid	triangle fill	triangle.solid	u0053.svg	
19	T	U+0054	Shapes	Square	Fill	Total fill	solid	square fill	square.solid	u0054.svg	
20	U	U+0055	Suits	Clubs	Fill	Total fill	solid	clubs fill	clubs.solid	u0055.svg	
21	V	U+0056	Suits	Diamonds	Fill	Total fill	solid	diamonds fill	diamonds.solid	u0056.svg	
22	W	U+0057	Suits	Hearts	Fill	Total fill	solid	hearts fill	hearts.solid	u0057.svg	
23	X	U+0058	Suits	Spades	Fill	Total fill	solid	spades fill	spades.solid	u0058.svg	
24	Y	U+0059	Elements	Water	Fill	Total fill	solid	water fill	water.solid	u0059.svg	
25	Z	U+005A	Elements	Fire	Fill	Total fill	solid	fire fill	fire.solid	u005A.svg	
26	a	U+0061	Elements	Air	Fill	Total fill	solid	air fill	air.solid	u0061.svg	
27	b	U+0062	Elements	Earth	Fill	Total fill	solid	earth fill	earth.solid	u0062.svg	
28	c	U+0063	Powers	Mushroom	Fill	Total fill	solid	mushroom fill	mushroom.solid	u0063.svg	
29	d	U+0064	Powers	Flower	Fill	Total fill	solid	flower fill	flower.solid	u0064.svg	
30	e	U+0065	Powers	Star	Fill	Total fill	solid	star fill	star.solid	u0065.svg	
31	f	U+0066	Powers	Moon	Fill	Total fill	solid	moon fill	moon.solid	u0066.svg	
32	g	U+0067	Shapes	Cross	Blue	Dots	dots	cross dots	cross.dots	u0067.svg	
